Gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,radial_position
Xkr4,765.8146,-0.06162849067181409,0.04626158675201457,1.3321741643271743,0.18280296414294683,0.35652941478244476,Xkr4,0.8164542848505852
Sox17,67.24152,0.18047010721566553,0.12149107244907136,-1.4854598249704147,0.13742205817255487,0.2946750310748801,Sox17,0.8164542848505852
Mrpl15,542.5049,0.054499605838780225,0.037003513430250164,-1.4728224643184045,0.1407989133194144,0.29988310184097533,Mrpl15,0.8164542848505852
Lypla1,343.34613,0.09481877380217114,0.08984589683204863,-1.0553489602248443,0.29126575677116906,0.48480003906226293,Lypla1,0.8164542848505852
Tcea1,231.28818,0.07046282863305713,0.08261910869333831,-0.8528635777783287,0.39373496173390765,0.5836368433685538,Tcea1,0.8164542848505852
Rgs20,318.6949,-0.3331061948733031,0.04343403359329973,7.669243846712157,1.7301324580642462e-14,1.6038695999544512e-12,Rgs20,0.8164542848505852
Atp6v1h,3080.748,-0.12234742423900813,0.043732098362180116,2.7976573002683818,0.005147469583121587,0.026374980368867994,Atp6v1h,0.8009649127863652
Oprk1,101.86237,-0.5871309000170515,0.12738824794412779,4.608987952126996,4.046337769247541e-06,6.703381620004386e-05,Oprk1,0.8009649127863652
Rb1cc1,1305.9541,0.11481109740529748,0.05974625141516274,-1.9216452026002768,0.054650416692729645,0.15472434040623642,Rb1cc1,0.8009649127863652
St18,121.54027,-0.13406899495869684,0.09227620140528782,1.452909774318193,0.14624880675982982,0.3084009448273173,St18,0.8009649127863652
Pcmtd1,1059.7351,0.3255475278316824,0.06248600269987508,-5.20992724395112,1.8891469850068105e-07,4.449196439824148e-06,Pcmtd1,0.8009649127863652
Sntg1,616.2729,0.18416752570335732,0.03638934887189461,-5.061028334189279,4.1700123290485074e-07,8.964840650163329e-06,Sntg1,0.8165966335415046
Rrs1,359.03897,-0.09696885751493446,0.0476270366407398,2.0360044284591927,0.04174991058663802,0.1275328537690922,Rrs1,0.7939702118561243
Adhfe1,192.1165,0.014397962907143808,0.07956720128102869,-0.1809534918325289,0.8564040814179661,0.9239070442567047,Adhfe1,0.7939702118561243
3110035E14Rik,4537.2373,0.08920338378356808,0.054924070645878835,-1.6241218601349492,0.10434980337226082,0.2439120672172427,3110035E14Rik,0.7939702118561243
Mybl1,51.060432,0.2884229169812254,0.14038192671855235,-2.0545587578340916,0.03992164260577063,0.1233723742038223,Mybl1,0.7939702118561243
Vcpip1,1700.476,0.02245032020283189,0.055735213074433396,-0.4028031645424928,0.6870930329569065,0.8180155782657551,Vcpip1,0.7861752671741051
Sgk3,176.5535,-0.006621748576085324,0.07090057661862685,0.09339484799543467,0.9255898833340035,0.9620095052406653,Sgk3,0.7861752671741051
Snhg6,119.53606,-0.009275885368826502,0.05889789563182039,0.15749094716068393,0.8748579419836903,0.9342675962322577,Snhg6,0.7861752671741051
Cops5,1252.6777,0.0026949541241790957,0.03617558580910834,-0.07449648883088872,0.9406153349127276,0.9697730748260185,Cops5,0.7861752671741051
Cspp1,98.15332,0.06597673604373555,0.08898405218290807,-0.7414444996067315,0.45842397151898273,0.6411362862962361,Cspp1,0.7861752671741051
Arfgef1,2056.2573,0.022728969069189506,0.04761133830437429,-0.4773856370910137,0.6330875399247167,0.7788317397040915,Arfgef1,0.7861752671741051
Prex2,1659.7197,0.1242657769648669,0.05870361682953707,-2.116833402713644,0.03427398938097898,0.1103980569735772,Prex2,0.8116728955704269
A830018L16Rik,1188.364,0.046656015977946934,0.07193426513038,-0.6485923765730207,0.5166018843177316,0.6905080232852405,A830018L16Rik,0.8116728955704269
Sulf1,507.68427,-0.13527782997629675,0.05581854675700562,2.4235283402343044,0.015370553911843696,0.06147603821408718,Sulf1,0.817651790412521
Slco5a1,84.065155,0.11454341908617308,0.1251965886697416,-0.9149084675807684,0.3602396844086392,0.553703306080118,Slco5a1,0.817651790412521
Ncoa2,2594.263,0.1333809354414338,0.03793657152902156,-3.5158932414173782,0.0004382771796198195,0.003639594037363825,Ncoa2,0.817651790412521
Tram1,723.1209,-0.09984125061053545,0.052204858432685367,1.9124896342602669,0.055813420914120844,0.15688972575666096,Tram1,0.817651790412521
Lactb2,98.96013,0.06698990066672085,0.08843748582622982,-0.7574830971376643,0.4487604887352141,0.6340800890315306,Lactb2,0.817651790412521
Eya1,152.98448,0.08366199169192354,0.06369952276581642,-1.3133849055588174,0.18905328119672082,0.3640218244196147,Eya1,0.817651790412521
Kcnb2,452.65244,0.1485470963219515,0.06983172318626754,-2.1272151043118384,0.03340221470971922,0.10805045576592197,Kcnb2,0.8013887913739952
Terf1,50.724556,0.2016991861708537,0.13300277428276475,-1.5165036012109034,0.12939206041313053,0.2832970890552813,Terf1,0.8013887913739952
Rpl7,3330.141,0.11738416618082628,0.03704846692261208,-3.1683946983831137,0.0015328326542927157,0.010068505341929702,Rpl7,0.8013887913739952
Rdh10,147.34709,0.014908927602086732,0.06840153208230138,-0.21796189570941435,0.8274588004578864,0.9077393185719709,Rdh10,0.8013887913739952
Stau2,1635.0955,-0.03677577746846484,0.0384746145864874,0.9558452466312891,0.33915042492066627,0.5338463483763131,Stau2,0.8013887913739952
Ube2w,1087.8312,-0.08711031590767924,0.04387175307906545,1.9855672452999422,0.04708139646682283,0.1386350378954362,Ube2w,0.8013887913739952
Tceb1,1089.5854,0.12092781086783116,0.06587468041040521,-1.8357251999469293,0.06639830900335449,0.17658032492021292,Tceb1,0.8013887913739952
Tmem70,558.90106,-0.0961933903922811,0.058028458312274024,1.6576933661519409,0.09737937349168217,0.23238406464214367,Tmem70,0.8013887913739952
Jph1,422.78458,-0.12218597615928736,0.054160299433892375,2.2560062894117965,0.024070237247952337,0.08528654677906886,Jph1,0.8013887913739952
Gdap1,1103.0641,0.12274034218651445,0.06257283734882249,-1.9615594783129038,0.04981379388448094,0.14482119658897918,Gdap1,0.8013887913739952
Crispld1,118.386856,0.12583784406450158,0.09424115836280375,-1.3352748019083007,0.18178642259927702,0.35496419626458764,Crispld1,0.8281865491490618
Mcm3,67.337685,-0.1574244598732546,0.10606349010303097,1.4842474042701324,0.13774329794905063,0.2951573355032464,Mcm3,0.7886627763933542
Paqr8,3106.5974,-0.1694476511203713,0.04838154695697462,3.502319826008456,0.00046122561073705577,0.0037987901436320453,Paqr8,0.7886627763933542
Efhc1,26.010983,0.031444340076879455,0.14969294519676613,-0.21005893120445304,0.8336216784720002,0.9112116540648532,Efhc1,0.7886627763933542
Tmem14a,589.2342,0.034184970575358666,0.02738075311836027,-1.2485036634158833,0.21184666765977556,0.3930931775121495,Tmem14a,0.7886907094930004
Kcnq5,1986.8293,0.1462483578090485,0.043128016247336996,-3.391029092790207,0.0006963070926081228,0.005282315732722445,Kcnq5,0.7873684786924722
Rims1,3535.1294,0.045795858829102816,0.029873676529378675,-1.532983688300494,0.12527987401510113,0.2771867420056765,Rims1,0.770455668238936
Ogfrl1,1637.4227,0.1815199111714527,0.08343914909850794,-2.175476537484233,0.02959442446618766,0.09934018380706826,Ogfrl1,0.770455668238936
B3gat2,218.71912,0.03140845225914656,0.053816086449663424,-0.5836257210662147,0.559472151354176,0.7238305939176913,B3gat2,0.7713451690817527
Smap1,1431.9294,-0.024788918302614694,0.05204873310811757,0.47626362492094143,0.6338865764634098,0.7795852871153915,Smap1,0.7709608055009198
Sdhaf4,349.17966,0.11545045011943098,0.05906180328395547,-1.9547396743775658,0.05061380471066388,0.1463333424846467,Sdhaf4,0.7709608055009198
Fam135a,608.672,0.12265303828575215,0.05271478427975922,-2.32672939786357,0.019979672168528872,0.07448781942807783,Fam135a,0.7709608055009198
Col19a1,286.8913,-0.13078637638095117,0.06868486190267166,1.9041514062629847,0.0568904683261157,0.15889216057492697,Col19a1,0.7765299571115648
Lmbrd1,3938.6829,0.09312089385012401,0.03299721751409973,-2.822083219905842,0.0047712794310356636,0.024936182904065237,Lmbrd1,0.7765299571115648
Adgrb3,2793.586,0.0796439635422116,0.022128348061486367,-3.59918252012807,0.00031921908877537207,0.0027947171529691148,Adgrb3,0.8198531401981699
Phf3,1072.6091,0.10364841280970288,0.06155842829912226,-1.6837404019813282,0.09223184959238777,0.22304579204849223,Phf3,0.8115916278682586
Ptp4a1,554.0168,0.036727632829327776,0.06386584722179521,-0.5750746984030285,0.5652407788087102,0.7284817806949961,Ptp4a1,0.8115916278682586
