Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,gene_symbol,radial_position
ENSMUSG00000051951.5,4596.516,-0.034802695728009925,0.0763747960161847,0.4556829941730362,0.6486179525521067,0.8195987747646745,ENSMUSG00000051951,Xkr4,0.8164542848505852
ENSMUSG00000102331.1,1054.4191,-0.06454307323222576,0.09105480476089046,0.7088376434578668,0.47842523472940135,0.7029644460933023,ENSMUSG00000102331,Gm19938,0.8164542848505852
ENSMUSG00000025902.13,137.86269,0.14899450087259408,0.234180369598567,-0.6362382172681728,0.5246211671687396,0.7396532844103049,ENSMUSG00000025902,Sox17,0.8164542848505852
ENSMUSG00000033845.13,1123.3102,0.014853946963468848,0.03276960471767253,-0.45328428864014236,0.6503440447313766,0.8205739160081554,ENSMUSG00000033845,Mrpl15,0.8164542848505852
ENSMUSG00000025903.14,780.7227,0.09776872889590983,0.07196243624941175,-1.3586078236297765,0.1742708947069529,0.3871854831126824,ENSMUSG00000025903,Lypla1,0.8164542848505852
ENSMUSG00000033813.15,1149.1396,0.20825522925461948,0.08716612670413658,-2.389176129868536,0.01688620482991141,0.07545908810601881,ENSMUSG00000033813,Tcea1,0.8164542848505852
ENSMUSG00000002459.17,574.7403,-0.4075656701719367,0.08591934592103771,4.743584413997995,2.099693883223882e-06,4.2590849454806e-05,ENSMUSG00000002459,Rgs20,0.8164542848505852
ENSMUSG00000085623.1,269.5955,-0.23105516765981776,0.14071610575734902,1.6419951818326288,0.10059100260853412,0.26906630174150886,ENSMUSG00000085623,Gm16041,0.8164542848505852
ENSMUSG00000033793.12,5280.4067,0.02687115329632181,0.051023347673156194,-0.5266442623179534,0.5984406485384739,0.7900294795508709,ENSMUSG00000033793,Atp6v1h,0.8009649127863652
ENSMUSG00000025905.13,1168.3528,-1.0819739328933278,0.11829182596947585,9.146650024427906,5.872639860722425e-20,1.2623887659049036e-17,ENSMUSG00000025905,Oprk1,0.8009649127863652
ENSMUSG00000033774.4,118.398445,-1.35328246461916,0.21718559035176294,6.23099563109747,4.634800346835345e-10,2.1549217792364782e-08,ENSMUSG00000033774,Npbwr1,0.8009649127863652
ENSMUSG00000025907.14,7361.418,0.16472683243642358,0.0524842911727952,-3.1385930676683764,0.001697610168666937,0.012527348868379466,ENSMUSG00000025907,Rb1cc1,0.8009649127863652
