gene_id	WT_rep1	WT_rep2	WT_rep3	R168X_rep1	R168X_rep2	R168X_rep3
Taf9	863.62	744.25	561.87	1120.15	1054.99	1462.76
Taf9b	289.00	284.00	206.00	339.00	289.00	298.00
Tafa1	13.00	14.00	3.00	8.00	10.00	8.00
Tafa2	3.00	10.00	4.00	12.00	6.00	9.00
Tafa3	0.00	0.00	0.00	0.00	2.00	0.00
Tafa4	32.00	11.00	5.00	36.00	40.00	42.00
Tafa5	234.00	192.00	144.00	247.00	187.00	255.00
Tagap	25.69	19.73	33.51	56.32	37.49	54.96
Tagap1	174.67	131.03	87.83	199.39	174.12	214.70
Tagln	11911.00	9730.00	7624.00	9001.00	8334.00	14410.00
Tagln2	3697.00	2946.00	2279.00	2512.00	2116.00	2989.00
Tagln3	1574.00	1434.00	968.00	1549.00	1421.00	2292.00
Tal1	12.00	7.00	1.00	14.00	19.00	27.00
Tal2	3.00	2.00	1.00	3.00	3.00	5.00
Taldo1	1383.00	1155.00	885.00	1333.00	1446.00	1760.00
Tamm41	202.00	185.00	117.00	177.00	140.00	193.00
Tanc1	1415.00	1001.00	895.00	1330.00	890.00	1075.00
Tanc2	2316.00	1989.00	1549.00	3230.00	2174.00	1901.00
Tango2	223.00	196.00	144.00	247.00	237.00	371.00
Tango6	395.00	261.00	201.00	332.00	251.00	322.00
Tank	468.00	361.00	296.00	512.00	445.00	503.00
Taok1	7009.00	5706.00	4579.00	9683.00	7210.00	6647.00
Taok2	1853.00	1460.00	1142.00	1921.00	1433.00	1745.00
Taok3	531.00	386.00	293.00	535.00	419.00	408.00
Tap1	215.12	159.12	151.80	123.25	94.71	87.72
Tap2	429.88	357.88	308.20	236.75	149.29	254.28
Tapbp	1725.62	1258.68	1112.68	916.83	578.00	913.40
Tapbpl	95.00	73.00	70.00	53.00	50.00	69.00
Tapt1	738.00	525.00	460.00	711.00	674.00	852.00
Tarbp1	104.00	99.00	57.00	126.00	83.00	94.00
Tarbp2	298.00	253.00	196.00	291.00	315.00	416.00
Tardbp	2624.00	2280.00	1583.00	3251.00	2755.00	3534.00
Tarm1	1.00	0.00	0.00	0.00	0.00	0.00
Tars	2047.00	1707.00	1235.00	1906.00	1610.00	2267.00
Tars2	405.00	324.00	267.00	342.00	308.00	456.00
Tarsl2	217.00	202.00	126.00	282.00	248.00	252.00
Tas1r1	0.00	0.00	0.00	1.00	0.00	3.00
Tas1r2	2.00	1.00	0.00	0.00	0.00	1.00
Tas1r3	3.00	10.00	10.00	13.00	5.00	10.00
Tas2r102	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r103	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r104	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r105	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r106	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r107	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r108	3.00	3.00	2.00	2.00	2.00	1.00
Tas2r109	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r110	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r113	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r114	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r115	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r116	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r117	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r118	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r119	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r120	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r121	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r122	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r123	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r124	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r125	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r126	0.00	1.00	0.00	0.00	0.00	0.00
Tas2r129	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r130	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r131	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r134	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r135	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r136	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r137	4.00	1.00	0.00	2.00	3.00	2.00
Tas2r138	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r139	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r140	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r143	0.00	0.00	0.00	0.00	0.00	0.00
Tas2r144	0.00	0.00	0.00	0.00	0.00	0.00
Tasor	1979.00	1669.00	1242.00	2928.00	2408.00	2830.00
Tasor2	2106.00	1685.00	1438.00	3237.00	2652.00	2643.00
Tasp1	178.00	170.00	129.00	167.00	149.00	237.00
Tat	0.00	0.00	0.00	1.00	0.00	0.00
Tatdn1	174.00	126.00	89.00	178.00	194.00	246.00
Tatdn2	812.00	723.00	510.00	717.00	640.00	892.00
Tatdn3	50.00	47.00	31.00	35.00	47.00	62.00
Tax1bp1	3609.00	2938.00	2203.00	3307.00	2940.00	3724.00
Tax1bp3	1446.00	1237.00	900.00	1579.00	1389.00	1704.00
Taz	214.00	152.00	119.00	192.00	180.00	320.00
Tbata	0.00	1.00	3.00	3.00	4.00	6.00
Tbc1d1	989.00	782.00	680.00	980.00	745.00	878.00
Tbc1d10a	243.00	173.00	132.00	175.00	162.00	228.00
Tbc1d10b	1338.00	1157.00	835.00	1315.00	1039.00	1326.00
Tbc1d10c	2.00	2.00	3.00	9.00	5.00	8.00
Tbc1d12	560.00	500.00	361.00	756.00	618.00	720.00
Tbc1d13	1178.00	931.00	710.00	1029.00	818.00	1140.00
Tbc1d14	1518.00	1279.00	936.00	1766.00	1572.00	2172.00
Tbc1d15	679.00	572.00	443.00	917.00	898.00	1068.00
Tbc1d16	1609.00	1331.00	996.00	1458.00	1147.00	1362.00
Tbc1d17	502.00	396.00	301.00	465.00	385.00	579.00
Tbc1d19	589.00	530.00	437.00	676.00	582.00	737.00
Tbc1d2	23.00	25.00	19.00	38.00	36.00	50.00
Tbc1d20	1518.00	1169.00	936.00	1475.00	1176.00	1468.00
Tbc1d21	0.00	0.00	0.00	0.00	0.00	0.00
Tbc1d22a	422.00	373.00	268.00	470.00	328.00	502.00
Tbc1d22b	582.00	501.00	325.00	592.00	458.00	582.00
Tbc1d22bos	0.00	0.00	0.00	0.00	0.00	0.00
Tbc1d23	975.00	724.00	573.00	725.00	703.00	876.00
Tbc1d24	527.06	436.40	331.17	625.16	471.42	561.99
Tbc1d25	228.00	228.00	185.00	300.00	233.00	296.00
Tbc1d2b	1247.00	937.00	784.00	782.00	521.00	611.00
Tbc1d30	180.00	216.00	134.00	258.00	235.00	272.00
Tbc1d31	188.00	118.00	92.00	160.00	134.00	146.00
Tbc1d32	367.00	265.00	207.00	363.00	292.00	373.00
Tbc1d4	92.00	57.00	51.00	68.00	52.00	59.00
Tbc1d5	598.00	500.00	410.00	640.00	537.00	523.00
Tbc1d7	418.00	346.00	270.00	318.00	280.00	428.00
Tbc1d8	787.00	664.00	501.00	1043.00	779.00	870.00
Tbc1d8b	366.00	321.00	220.00	322.00	277.00	272.00
Tbc1d9	7199.00	6149.00	4402.00	10213.00	7521.00	8654.00
Tbc1d9b	3034.00	2376.00	1834.00	2711.00	1795.00	2208.00
Tbca	983.00	900.00	618.00	937.00	859.00	1399.00
Tbcb	884.00	737.00	568.00	841.00	812.00	1213.00
Tbcc	285.00	233.00	182.00	292.00	226.00	402.00
Tbccd1	289.00	253.00	173.00	284.00	259.00	357.00
Tbcd	2421.00	2069.00	1477.00	2109.00	1692.00	2364.00
Tbce	322.00	259.00	180.00	358.00	334.00	418.00
Tbcel	1389.00	1158.00	901.00	1506.00	1244.00	1477.00
Tbck	1791.00	1669.00	1249.00	2276.00	1882.00	1960.00
Tbk1	659.00	526.00	443.00	757.00	722.00	902.00
Tbkbp1	247.00	213.00	155.00	160.00	157.00	181.00
Tbl1x	980.00	795.00	564.00	952.00	808.00	847.00
Tbl1xr1	3426.00	2759.00	2317.00	3906.00	3020.00	3355.00
Tbl2	685.00	610.00	416.00	830.00	585.00	782.00
Tbl3	551.00	471.00	367.00	512.00	502.00	710.00
Tbp	302.00	223.00	198.00	395.00	368.00	427.00
Tbpl1	1627.00	1343.00	967.00	1848.00	1758.00	2088.00
Tbpl2	0.00	0.00	0.00	0.00	0.00	0.00
Tbr1	14.00	7.00	5.00	32.00	17.00	14.00
Tbrg1	1415.00	1164.00	907.00	1409.00	1372.00	2138.00
Tbrg3	111.00	84.00	75.00	151.00	88.00	70.00
Tbrg4	468.00	383.00	285.00	492.00	317.00	478.00
Tbx1	5.00	4.00	3.00	28.00	19.00	26.00
Tbx10	0.00	0.00	0.00	0.00	0.00	0.00
Tbx15	392.00	319.00	256.00	374.00	295.00	331.00
Tbx18	1995.00	1590.00	1252.00	1627.00	1136.00	1282.00
Tbx19	0.00	0.00	0.00	0.00	0.00	2.00
Tbx2	94.00	63.00	69.00	96.00	80.00	99.00
Tbx20	44.00	37.00	34.00	58.00	40.00	32.00
Tbx21	1.00	1.00	0.00	3.00	0.00	0.00
Tbx22	0.00	0.00	0.00	0.00	0.00	0.00
Tbx3	878.00	715.00	564.00	1215.00	904.00	831.00
Tbx3os2	0.00	0.00	0.00	0.00	0.00	0.00
Tbx4	4.00	2.00	5.00	2.00	5.00	4.00
Tbx5	4.00	1.00	4.00	1.00	3.00	5.00
Tbx6	3.00	3.00	0.00	2.00	5.00	5.00
Tbxa2r	6.00	5.00	5.00	8.00	7.00	2.00
Tbxas1	2.00	0.00	0.00	3.00	0.00	0.00
Tc2n	1.00	2.00	0.00	0.00	0.00	1.00
Tcaf1	5855.00	4798.00	3465.00	4677.00	3877.00	4823.00
Tcaf2	83.00	57.00	47.00	39.00	27.00	36.00
Tcaf3	0.00	0.00	0.00	0.00	0.00	0.00
Tcaim	127.00	109.00	84.00	166.00	151.00	174.00
Tcam1	7.00	4.00	3.00	4.00	7.00	6.00
Tcap	1.00	0.00	0.00	0.00	1.00	2.00
Tcea1	2312.00	1985.00	1482.00	2742.00	2715.00	3566.00
Tcea2	39.00	36.00	21.00	34.00	28.00	52.00
Tcea3	15.00	11.00	21.00	15.00	18.00	18.00
Tceal1	104.00	98.00	56.00	122.00	138.00	151.00
Tceal3	73.40	46.85	47.14	57.60	38.19	54.30
Tceal5	11.68	5.82	12.86	1.40	2.93	10.70
Tceal6	1.92	2.33	0.00	0.00	4.89	0.00
Tceal7	5.00	3.00	7.00	1.00	7.00	4.00
Tceal8	1204.00	930.00	727.00	911.00	776.00	1149.00
Tceal9	2392.00	2023.00	1477.00	1505.00	1389.00	2220.00
Tceanc	444.00	328.00	263.00	467.00	440.00	572.00
Tceanc2	364.00	255.00	170.00	359.00	294.00	373.00
Tcerg1	1400.00	1088.00	829.00	1816.00	1465.00	1499.00
Tcerg1l	6.00	6.00	6.00	4.00	4.00	7.00
Tcf12	2773.00	2264.00	1767.00	3348.00	2592.00	2811.00
Tcf15	6.00	5.00	5.00	3.00	10.00	4.00
Tcf19	195.00	212.00	127.00	154.00	149.00	189.00
Tcf20	7592.00	6731.00	5086.00	9654.00	7558.00	7942.00
Tcf21	0.00	0.00	0.00	0.00	0.00	0.00
Tcf23	0.00	0.00	0.00	0.00	0.00	1.00
Tcf24	39.00	34.00	35.00	121.00	116.00	123.00
Tcf25	6651.00	5441.00	4056.00	7465.00	6490.00	8406.00
Tcf3	1591.00	1244.00	928.00	1486.00	1082.00	1487.00
Tcf4	4890.00	3962.00	3172.00	6234.00	4729.00	4646.00
Tcf7	86.00	52.00	51.00	90.00	45.00	79.00
Tcf7l1	468.00	325.00	285.00	363.00	247.00	289.00
Tcf7l2	453.00	346.00	317.00	412.00	269.00	242.00
Tcfl5	150.00	130.00	72.00	385.00	331.00	410.00
Tchh	44.00	26.00	18.00	32.00	16.00	24.00
Tchhl1	0.00	0.00	0.00	0.00	0.00	0.00
Tchp	159.00	127.00	76.00	162.00	154.00	160.00
Tcim	11.00	5.00	5.00	4.00	3.00	9.00
Tcirg1	210.00	155.00	124.00	121.00	106.00	130.00
Tcl1	0.00	0.00	0.00	0.00	0.00	0.00
Tcl1b1	0.00	0.00	0.00	0.00	0.00	0.00
Tcl1b2	0.00	0.00	0.00	0.00	0.00	0.00
Tcl1b3	0.00	0.00	0.00	0.00	0.00	0.00
Tcl1b4	0.00	0.00	0.00	0.00	0.00	0.00
Tcl1b5	0.00	0.00	0.00	0.00	0.00	0.00
Tcn2	1037.00	742.00	684.00	771.00	670.00	872.00
Tcof1	719.00	536.00	413.00	674.00	527.00	637.00
Tcp1	7324.00	6163.00	4558.00	7123.00	6639.00	9737.00
Tcp10a	1.61	0.00	1.00	0.00	0.00	0.00
Tcp10b	0.00	0.00	0.00	4.00	0.00	0.00
Tcp10c	3.39	8.00	0.00	0.00	7.00	3.00
Tcp11	11.00	9.00	8.00	14.00	12.00	25.00
Tcp11l1	617.00	525.00	438.00	778.00	508.00	506.00
Tcp11l2	349.00	259.00	222.00	240.00	192.00	294.48
Tcp11x2	3.00	4.00	2.00	1.00	2.00	1.00
Tcstv1	0.00	0.00	0.00	0.00	0.00	0.00
Tcstv3	0.00	0.00	0.00	0.00	0.00	0.00
Tcta	415.00	352.00	275.00	371.00	342.00	455.00
