Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,gene_symbol,radial_position
ENSMUSG00000061411.12,2735.566,-0.012448920481334272,0.14473322527463334,0.08601287270225803,0.9314561842143048,0.9806783100321987,ENSMUSG00000061411,Nol4l,0.6709651191240903
ENSMUSG00000056941.17,1028.6407,-0.05987829534376802,0.058838464007664786,1.0176726458387455,0.3088335509876059,0.6232670608461558,ENSMUSG00000056941,Commd7,0.6709651191240903
ENSMUSG00000027479.14,4321.5254,0.016918519396673513,0.05190326327390961,-0.3259625374109763,0.7444526992476983,0.9124945993492478,ENSMUSG00000027479,Mapre1,0.6709651191240903
ENSMUSG00000027487.11,445.02084,-0.11126889593637089,0.07139557916216707,1.5584843941616613,0.11911846456523624,0.365183119186574,ENSMUSG00000027487,Cdk5rap1,0.6737314251603826
ENSMUSG00000027488.12,910.3912,-0.013824604726605143,0.0880875153796194,0.15694170356635703,0.8752907923947114,0.9620431481463683,ENSMUSG00000027488,Snta1,0.6737314251603826
ENSMUSG00000038533.15,3260.1028,0.08115498595389814,0.024376693802979802,-3.329203976955143,0.0008709459336320102,0.009838276866229798,ENSMUSG00000038533,Cbfa2t2,0.6737314251603826
ENSMUSG00000027489.15,444.95605,-0.03147939731051969,0.09357406619598904,0.33641155707166465,0.7365605355624456,0.9089163699011744,ENSMUSG00000027489,Necab3,0.6737314251603826
ENSMUSG00000000876.11,340.3102,-0.036935329167758144,0.11834587437409592,0.3120964660838461,0.7549672121566217,0.9158735515091637,ENSMUSG00000000876,Pxmp4,0.6737314251603826
ENSMUSG00000059842.12,255.8141,-0.1055435114815631,0.2015899890613442,0.5235553212389232,0.6005878638593574,0.8431984543323963,ENSMUSG00000059842,Zfp341,0.6737314251603826
ENSMUSG00000038467.15,4255.834,-0.017235803912240735,0.030629871032883137,0.5627122586881608,0.5736308354027859,0.8308727627373164,ENSMUSG00000038467,Chmp4b,0.6737314251603826
ENSMUSG00000027593.15,1703.8275,0.17077503287105636,0.037305397158442104,-4.577756729026284,4.699888060612424e-06,0.0001175841126743262,ENSMUSG00000027593,Raly,0.6737314251603826
ENSMUSG00000074656.12,1760.8097,-0.037569655138632876,0.051404494765737,0.730863231121074,0.46486269670173863,0.7585827713481331,ENSMUSG00000074656,Eif2s2,0.6737314251603826
ENSMUSG00000027597.15,260.4258,-0.023462757078941035,0.09687799195369994,0.2421887221832012,0.8086339333634003,0.9342608960123158,ENSMUSG00000027597,Ahcy,0.6737314251603826
ENSMUSG00000027598.16,3977.5793,-0.02322701805182539,0.03979717421861347,0.5836348561894105,0.5594660039914408,0.8233141619740009,ENSMUSG00000027598,Itch,0.6437764326492784
ENSMUSG00000047459.14,3032.9207,-0.02183230890016218,0.06570959420263932,0.3322545081139042,0.7396970877175033,0.9103200503641901,ENSMUSG00000047459,Dynlrb1,0.6437764326492784
ENSMUSG00000027602.9,2266.8547,-0.029056777644844437,0.0706267596628199,0.4114131496838418,0.6807696133595286,0.8826668602851006,ENSMUSG00000027602,Map1lc3a,0.6437764326492784
ENSMUSG00000038383.16,1397.3663,0.011614578717406582,0.03838421332845799,-0.302587384506733,0.7622043297420846,0.9178715437761522,ENSMUSG00000038383,Pigu,0.6437764326492784
