Gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,radial_position
Xkr4,750.4252,-0.2684700586774381,0.06543627209808507,4.102771292885045,4.0823074141536774e-05,0.0009811120332500205,Xkr4,0.8164542848505852
Sox17,63.87951,0.3052516570514405,0.12596392746936833,-2.423325972633483,0.01537911986074608,0.10063377777021668,Sox17,0.8164542848505852
Mrpl15,551.53625,0.0861829176045728,0.04639372784442627,-1.8576415737397316,0.0632199305806122,0.25432720835678213,Mrpl15,0.8164542848505852
Lypla1,307.92584,0.11113553149831909,0.11546740906767052,-0.9624839805073249,0.3358065463349539,0.6534941183531773,Lypla1,0.8164542848505852
Tcea1,181.64249,0.029699636853393014,0.09938627455672876,-0.2988303665255179,0.7650694798747926,0.9158855885583328,Tcea1,0.8164542848505852
Rgs20,293.36905,-0.2846617606477581,0.08443015562721409,3.371565035419691,0.0007474238943566038,0.01048328530142887,Rgs20,0.8164542848505852
Atp6v1h,3133.7668,-0.09007828582866696,0.05518592839166695,1.6322691029017597,0.10262280905301,0.34442482274322045,Atp6v1h,0.8009649127863652
Oprk1,87.62405,-0.48720160699045667,0.1211788167080657,4.020517943859642,5.80703256638081e-05,0.001326942661301991,Oprk1,0.8009649127863652
Rb1cc1,1147.6403,0.08482078517237318,0.07580110662851078,-1.11899138343806,0.26314381501214834,0.580100104860067,Rb1cc1,0.8009649127863652
St18,107.68557,-0.01990974848182811,0.09493093340573021,0.2097287761486007,0.8338793648711533,0.945591519066344,St18,0.8009649127863652
Pcmtd1,932.20245,0.2184306554643795,0.0815682847919005,-2.6778870736542575,0.007408819242146881,0.060558842127238645,Pcmtd1,0.8009649127863652
Sntg1,622.442,0.051500517280596944,0.054274148420953135,-0.948895906779711,0.34267355658775045,0.6596745014441711,Sntg1,0.8165966335415046
Rrs1,334.62335,-0.11370190791601585,0.03709548015170344,3.065114872513508,0.0021758640802175587,0.02391427284107244,Rrs1,0.7939702118561243
Adhfe1,180.0159,-0.1013017410047666,0.06730616574379067,1.5050885737628308,0.13230130625267067,0.396903918758012,Adhfe1,0.7939702118561243
3110035E14Rik,4200.115,0.04216094684623685,0.09701517916044715,-0.4345809306449826,0.6638666390947655,0.8746139631726803,3110035E14Rik,0.7939702118561243
Mybl1,44.3021,0.13071658256465135,0.15623754359262437,-0.8366528272198346,0.4027877421432702,0.7149551158152627,Mybl1,0.7939702118561243
Vcpip1,1562.2893,-0.019581114333306865,0.09155483935095524,0.2138730674655765,0.8306460433306345,0.9442262506893608,Vcpip1,0.7861752671741051
Sgk3,145.44353,0.06463541369212493,0.11036774356565598,-0.5856368138365932,0.5581196037636689,0.8223788631159591,Sgk3,0.7861752671741051
Snhg6,98.65352,-0.06987438056659442,0.06876872001412251,1.0160779574237362,0.30959226476885493,0.6271920577321053,Snhg6,0.7861752671741051
Cops5,1335.6971,0.025914844826807688,0.019932552400972012,-1.300126762769426,0.1935575264362931,0.49508460509343893,Cops5,0.7861752671741051
Cspp1,76.47002,-0.05582033294870912,0.10060657439082145,0.5548378253280605,0.5790055921920881,0.8326065273530527,Cspp1,0.7861752671741051
Arfgef1,1754.5391,-0.011767933261933868,0.09196907481070614,0.1279553293990945,0.89818432433878,0.9663405724061594,Arfgef1,0.7861752671741051
Prex2,1424.2198,0.0032445052082554333,0.08847162403834442,-0.03667283429599116,0.970745869158982,0.9910962940315929,Prex2,0.8116728955704269
A830018L16Rik,1122.986,-0.07243466385074511,0.10242498387858343,0.7071972199342552,0.47944392596824403,0.773116739941623,A830018L16Rik,0.8116728955704269
Sulf1,478.48062,-0.17697456694351837,0.06820125482606958,2.5948872552982816,0.009462195206931139,0.07207232693644913,Sulf1,0.817651790412521
Slco5a1,93.02255,0.35642836782783943,0.1384842315216755,-2.573783050325491,0.010059332778418886,0.0753406940005774,Slco5a1,0.817651790412521
Ncoa2,2447.8164,0.12174051826132537,0.06531587390470558,-1.863873373859195,0.06233948866565937,0.25234683425619653,Ncoa2,0.817651790412521
Tram1,694.7874,-0.1637488033269217,0.05200835647692858,3.148509478463568,0.0016410540127049832,0.019414908346851858,Tram1,0.817651790412521
Lactb2,86.18958,0.007361168383665733,0.12137579025593567,-0.060647748353636344,0.9516397457966403,0.9853643366128787,Lactb2,0.817651790412521
Eya1,129.38968,0.20042215882376105,0.11223790495185881,-1.7856904840635284,0.07414938698302265,0.2810758978289389,Eya1,0.817651790412521
Kcnb2,422.56915,-0.0355159806779124,0.08160172188723941,0.43523567709747396,0.6633913686108701,0.8742678081477647,Kcnb2,0.8013887913739952
Terf1,42.115753,-0.021545371511614484,0.14205195833944834,0.15167247085837082,0.8794452710035577,0.9592183106700697,Terf1,0.8013887913739952
Rpl7,3262.2202,0.1267220091878829,0.036294998836113465,-3.491445467737409,0.0004804145242499252,0.007444993616564395,Rpl7,0.8013887913739952
Rdh10,140.27957,-0.011446347698492669,0.054440291657123344,0.21025507671017316,0.8334685951406312,0.9454509399771843,Rdh10,0.8013887913739952
Stau2,1482.6466,-0.059957816113911384,0.05876167516026428,1.0203558007899673,0.30755974789353613,0.6252412662515845,Stau2,0.8013887913739952
Ube2w,1062.547,-0.03530734273823457,0.06508983715191748,0.5424401762725021,0.5875153089328318,0.8354726736220711,Ube2w,0.8013887913739952
Tceb1,947.8234,0.03387810568248563,0.10063375081388591,-0.336647550235313,0.7363826064169431,0.9079366552071844,Tceb1,0.8013887913739952
Tmem70,530.77374,-0.10640308910302851,0.07648011182206249,1.3912517459517368,0.1641491007625372,0.4497927519735529,Tmem70,0.8013887913739952
